id,species,dbh,h
1,Betula pendula,10.0,14.3
2,Betula pendula,11.4,15.5
3,Betula pendula,12.3,16.2
4,Fagus sylvatica,7.0,10.1
5,Fagus sylvatica,7.0,10.7
6,Fagus sylvatica,7.0,10.7
7,Fagus sylvatica,7.1,10.8
8,Fagus sylvatica,7.1,10.8
9,Fagus sylvatica,7.1,10.8
10,Fagus sylvatica,7.1,10.8
11,Fagus sylvatica,7.2,11.0
12,Fagus sylvatica,7.2,11.0
13,Fagus sylvatica,7.2,11.0
14,Fagus sylvatica,7.3,11.1
15,Fagus sylvatica,7.3,11.1
16,Fagus sylvatica,7.4,11.3
17,Fagus sylvatica,7.4,11.3
18,Fagus sylvatica,7.5,12.8
19,Fagus sylvatica,7.5,11.4
20,Fagus sylvatica,7.5,11.4
21,Fagus sylvatica,7.5,11.4
22,Fagus sylvatica,7.5,11.4
23,Fagus sylvatica,7.7,11.7
24,Fagus sylvatica,7.7,11.7
25,Fagus sylvatica,7.7,11.7
26,Fagus sylvatica,7.8,15.0
27,Fagus sylvatica,7.8,11.8
28,Fagus sylvatica,7.8,11.8
29,Fagus sylvatica,7.8,11.8
30,Fagus sylvatica,7.8,11.8
31,Fagus sylvatica,7.9,9.1
32,Fagus sylvatica,7.9,11.9
33,Fagus sylvatica,7.9,11.9
34,Fagus sylvatica,7.9,11.9
35,Fagus sylvatica,8.0,14.6
36,Fagus sylvatica,8.0,12.0
37,Fagus sylvatica,8.0,12.0
38,Fagus sylvatica,8.0,12.0
39,Fagus sylvatica,8.0,12.0
40,Fagus sylvatica,8.0,12.0
41,Fagus sylvatica,8.1,12.2
42,Fagus sylvatica,8.1,12.2
43,Fagus sylvatica,8.1,12.2
44,Fagus sylvatica,8.2,12.3
45,Fagus sylvatica,8.2,12.3
46,Fagus sylvatica,8.2,12.3
47,Fagus sylvatica,8.3,13.5
48,Fagus sylvatica,8.3,12.4
49,Fagus sylvatica,8.3,12.4
50,Fagus sylvatica,8.4,12.5
51,Fagus sylvatica,8.4,12.5
52,Fagus sylvatica,8.4,12.5
53,Fagus sylvatica,8.5,12.7
54,Fagus sylvatica,8.5,12.7
55,Fagus sylvatica,8.5,12.7
56,Fagus sylvatica,8.5,12.7
57,Fagus sylvatica,8.6,12.8
58,Fagus sylvatica,8.6,12.8
59,Fagus sylvatica,8.6,12.8
60,Fagus sylvatica,8.6,12.8
61,Fagus sylvatica,8.6,12.8
62,Fagus sylvatica,8.7,12.9
63,Fagus sylvatica,8.7,12.9
64,Fagus sylvatica,8.7,12.9
65,Fagus sylvatica,8.8,13.0
66,Fagus sylvatica,8.8,13.0
67,Fagus sylvatica,8.9,13.1
68,Fagus sylvatica,8.9,13.1
69,Fagus sylvatica,9.0,13.2
70,Fagus sylvatica,9.0,13.2
71,Fagus sylvatica,9.0,13.2
72,Fagus sylvatica,9.0,13.2
73,Fagus sylvatica,9.0,13.2
74,Fagus sylvatica,9.0,13.2
75,Fagus sylvatica,9.0,13.2
76,Fagus sylvatica,9.0,13.2
77,Fagus sylvatica,9.1,13.3
78,Fagus sylvatica,9.1,13.3
79,Fagus sylvatica,9.1,13.3
80,Fagus sylvatica,9.1,13.3
81,Fagus sylvatica,9.3,13.6
82,Fagus sylvatica,9.3,13.6
83,Fagus sylvatica,9.3,13.6
84,Fagus sylvatica,9.3,13.6
85,Fagus sylvatica,9.4,13.7
86,Fagus sylvatica,9.4,13.7
87,Fagus sylvatica,9.4,13.7
88,Fagus sylvatica,9.4,13.7
89,Fagus sylvatica,9.5,11.6
90,Fagus sylvatica,9.5,13.8
91,Fagus sylvatica,9.5,13.8
92,Fagus sylvatica,9.6,13.9
93,Fagus sylvatica,9.6,13.9
94,Fagus sylvatica,9.6,13.9
95,Fagus sylvatica,9.6,13.9
96,Fagus sylvatica,9.7,14.0
97,Fagus sylvatica,9.7,14.0
98,Fagus sylvatica,9.7,14.0
99,Fagus sylvatica,9.8,13.8
100,Fagus sylvatica,9.8,14.1
101,Fagus sylvatica,9.8,14.1
102,Fagus sylvatica,9.9,14.2
103,Fagus sylvatica,9.9,14.2
104,Fagus sylvatica,9.9,14.2
105,Fagus sylvatica,9.9,14.2
106,Fagus sylvatica,9.9,14.2
107,Fagus sylvatica,9.9,14.2
108,Fagus sylvatica,10.0,14.3
109,Fagus sylvatica,10.0,14.3
110,Fagus sylvatica,10.0,14.3
111,Fagus sylvatica,10.0,14.3
112,Fagus sylvatica,10.0,14.3
113,Fagus sylvatica,10.0,14.3
114,Fagus sylvatica,10.0,14.3
115,Fagus sylvatica,10.1,9.0
116,Fagus sylvatica,10.1,14.4
117,Fagus sylvatica,10.1,14.4
118,Fagus sylvatica,10.1,14.4
119,Fagus sylvatica,10.2,14.5
120,Fagus sylvatica,10.3,13.1
121,Fagus sylvatica,10.3,17.3
122,Fagus sylvatica,10.3,14.6
123,Fagus sylvatica,10.3,14.6
124,Fagus sylvatica,10.3,14.6
125,Fagus sylvatica,10.3,14.6
126,Fagus sylvatica,10.4,14.7
127,Fagus sylvatica,10.4,14.7
128,Fagus sylvatica,10.4,14.7
129,Fagus sylvatica,10.4,14.7
130,Fagus sylvatica,10.4,14.7
131,Fagus sylvatica,10.4,14.7
132,Fagus sylvatica,10.4,14.7
133,Fagus sylvatica,10.4,14.7
134,Fagus sylvatica,10.4,14.7
135,Fagus sylvatica,10.5,14.7
136,Fagus sylvatica,10.5,14.7
137,Fagus sylvatica,10.5,14.7
138,Fagus sylvatica,10.5,14.7
139,Fagus sylvatica,10.5,14.7
140,Fagus sylvatica,10.6,14.8
141,Fagus sylvatica,10.6,14.8
142,Fagus sylvatica,10.6,14.8
143,Fagus sylvatica,10.6,14.8
144,Fagus sylvatica,10.7,17.6
145,Fagus sylvatica,10.7,14.9
146,Fagus sylvatica,10.7,14.9
147,Fagus sylvatica,10.7,14.9
148,Fagus sylvatica,10.7,14.9
149,Fagus sylvatica,10.8,15.0
150,Fagus sylvatica,10.8,15.0
151,Fagus sylvatica,10.8,15.0
152,Fagus sylvatica,10.9,15.1
153,Fagus sylvatica,10.9,15.1
154,Fagus sylvatica,10.9,15.1
155,Fagus sylvatica,10.9,15.1
156,Fagus sylvatica,10.9,15.1
157,Fagus sylvatica,11.0,13.4
158,Fagus sylvatica,11.0,15.2
159,Fagus sylvatica,11.0,15.2
160,Fagus sylvatica,11.0,15.2
161,Fagus sylvatica,11.0,15.2
162,Fagus sylvatica,11.1,17.2
163,Fagus sylvatica,11.1,15.3
164,Fagus sylvatica,11.1,15.3
165,Fagus sylvatica,11.2,15.4
166,Fagus sylvatica,11.2,15.4
167,Fagus sylvatica,11.2,15.4
168,Fagus sylvatica,11.2,15.4
169,Fagus sylvatica,11.2,15.4
170,Fagus sylvatica,11.3,15.4
171,Fagus sylvatica,11.3,15.4
172,Fagus sylvatica,11.3,15.4
173,Fagus sylvatica,11.3,15.4
174,Fagus sylvatica,11.3,15.4
175,Fagus sylvatica,11.3,15.4
176,Fagus sylvatica,11.4,15.5
177,Fagus sylvatica,11.4,15.5
178,Fagus sylvatica,11.5,15.6
179,Fagus sylvatica,11.5,15.6
180,Fagus sylvatica,11.5,15.6
181,Fagus sylvatica,11.5,15.6
182,Fagus sylvatica,11.5,15.6
183,Fagus sylvatica,11.5,15.6
184,Fagus sylvatica,11.6,15.7
185,Fagus sylvatica,11.6,15.7
186,Fagus sylvatica,11.6,15.7
187,Fagus sylvatica,11.6,15.7
188,Fagus sylvatica,11.6,15.7
189,Fagus sylvatica,11.7,13.5
190,Fagus sylvatica,11.7,15.8
191,Fagus sylvatica,11.7,15.8
192,Fagus sylvatica,11.8,15.9
193,Fagus sylvatica,11.8,15.9
194,Fagus sylvatica,11.9,15.9
195,Fagus sylvatica,11.9,15.9
196,Fagus sylvatica,11.9,15.9
197,Fagus sylvatica,12.0,16.0
198,Fagus sylvatica,12.0,16.0
199,Fagus sylvatica,12.1,16.1
200,Fagus sylvatica,12.1,16.1
201,Fagus sylvatica,12.1,16.1
202,Fagus sylvatica,12.2,16.2
203,Fagus sylvatica,12.2,16.2
204,Fagus sylvatica,12.3,16.2
205,Fagus sylvatica,12.3,16.2
206,Fagus sylvatica,12.3,16.2
207,Fagus sylvatica,12.4,16.3
208,Fagus sylvatica,12.4,16.3
209,Fagus sylvatica,12.4,16.3
210,Fagus sylvatica,12.4,16.3
211,Fagus sylvatica,12.4,16.3
212,Fagus sylvatica,12.4,16.3
213,Fagus sylvatica,12.4,16.3
214,Fagus sylvatica,12.5,16.4
215,Fagus sylvatica,12.5,16.4
216,Fagus sylvatica,12.5,16.4
217,Fagus sylvatica,12.5,16.4
218,Fagus sylvatica,12.6,16.5
219,Fagus sylvatica,12.6,16.5
220,Fagus sylvatica,12.6,16.5
221,Fagus sylvatica,12.7,16.5
222,Fagus sylvatica,12.7,16.5
223,Fagus sylvatica,12.8,16.6
224,Fagus sylvatica,12.8,16.6
225,Fagus sylvatica,12.8,16.6
226,Fagus sylvatica,12.8,16.6
227,Fagus sylvatica,12.9,17.5
228,Fagus sylvatica,12.9,17.6
229,Fagus sylvatica,12.9,16.7
230,Fagus sylvatica,12.9,16.7
231,Fagus sylvatica,13.0,16.7
232,Fagus sylvatica,13.0,16.7
233,Fagus sylvatica,13.0,16.7
234,Fagus sylvatica,13.0,16.7
235,Fagus sylvatica,13.0,16.7
236,Fagus sylvatica,13.1,16.8
237,Fagus sylvatica,13.1,16.8
238,Fagus sylvatica,13.1,16.8
239,Fagus sylvatica,13.1,16.8
240,Fagus sylvatica,13.1,16.8
241,Fagus sylvatica,13.2,16.9
242,Fagus sylvatica,13.2,16.9
243,Fagus sylvatica,13.2,16.9
244,Fagus sylvatica,13.3,16.9
245,Fagus sylvatica,13.3,16.9
246,Fagus sylvatica,13.3,16.9
247,Fagus sylvatica,13.3,16.9
