id,species,dbh,h,dsm_vol
1,Fagus sylvatica,9.0,12.7,0.054
2,Fagus sylvatica,26.0,29.5,0.701
3,Fagus sylvatica,44.1,30.6,2.431
4,Picea abies,7.3,7.0,0.015
5,Picea abies,8.0,6.2,0.018
6,Picea abies,8.3,11.4,0.035
7,Picea abies,8.7,8.4,0.03
8,Picea abies,9.4,8.4,0.029
9,Picea abies,10.0,12.2,0.048
10,Picea abies,10.6,16.8,0.08
11,Picea abies,10.8,14.3,0.063
12,Picea abies,11.6,15.0,0.1
13,Picea abies,12.2,7.6,0.044
14,Picea abies,12.8,10.7,0.066
15,Picea abies,13.1,17.2,0.099
16,Picea abies,13.7,8.1,0.049
17,Picea abies,14.6,13.6,0.113
18,Picea abies,15.4,18.6,0.224
19,Picea abies,16.0,12.4,0.124
20,Picea abies,16.4,19.0,0.217
21,Picea abies,17.2,13.8,0.143
22,Picea abies,18.3,19.4,0.259
23,Picea abies,19.1,18.4,0.293
24,Picea abies,20.0,21.0,0.297
25,Picea abies,20.5,17.7,0.244
26,Picea abies,21.4,15.6,0.284
27,Picea abies,22.3,21.1,0.312
28,Picea abies,23.8,22.4,0.522
29,Picea abies,24.3,27.8,0.567
30,Picea abies,25.8,24.5,0.633
31,Picea abies,26.8,28.4,0.733
32,Picea abies,28.1,30.2,0.854
33,Picea abies,29.3,26.1,0.942
34,Picea abies,31.6,24.8,1.07
35,Picea abies,33.4,31.9,1.255
36,Picea abies,34.8,23.0,1.143
37,Picea abies,39.2,30.6,1.624
38,Picea abies,44.4,35.2,2.399
39,Picea abies,48.2,37.9,2.988
40,Picea abies,56.7,36.0,3.849
41,Pinus sylvestris,7.1,10.0,0.021
42,Pinus sylvestris,7.2,7.8,0.018
43,Pinus sylvestris,7.3,10.4,0.027
44,Pinus sylvestris,7.4,8.0,0.02
45,Pinus sylvestris,7.5,8.6,0.021
46,Pinus sylvestris,7.5,7.0,0.016
47,Pinus sylvestris,7.6,11.0,0.025
48,Pinus sylvestris,7.62,6.4,0.017
49,Pinus sylvestris,7.7,11.1,0.03
50,Pinus sylvestris,7.8,8.4,0.023
51,Pinus sylvestris,7.8,8.8,0.022
52,Pinus sylvestris,7.9,10.0,0.025
53,Pinus sylvestris,8.0,9.4,0.027
54,Pinus sylvestris,8.0,14.2,0.037
55,Pinus sylvestris,8.0,11.2,0.034
56,Pinus sylvestris,8.0,12.6,0.035
57,Pinus sylvestris,8.1,11.1,0.017
58,Pinus sylvestris,8.2,6.4,0.02
