id,species,dbh,h,huber_vol,denzin_vol
1,Betula pendula,10.0,14.3,0.112,0.05
2,Betula pendula,11.4,15.5,0.158,0.07
3,Betula pendula,12.3,16.2,0.192,0.084
4,Fagus sylvatica,7.0,10.1,0.039,0.027
5,Fagus sylvatica,7.0,10.7,0.041,0.028
6,Fagus sylvatica,7.0,10.7,0.041,0.028
7,Fagus sylvatica,7.1,10.8,0.043,0.029
8,Fagus sylvatica,7.1,10.8,0.043,0.029
9,Fagus sylvatica,7.1,10.8,0.043,0.029
10,Fagus sylvatica,7.1,10.8,0.043,0.029
11,Fagus sylvatica,7.2,11.0,0.045,0.03
12,Fagus sylvatica,7.2,11.0,0.045,0.03
13,Fagus sylvatica,7.2,11.0,0.045,0.03
14,Fagus sylvatica,7.3,11.1,0.046,0.031
15,Fagus sylvatica,7.3,11.1,0.046,0.031
16,Fagus sylvatica,7.4,11.3,0.049,0.032
17,Fagus sylvatica,7.4,11.3,0.049,0.032
18,Fagus sylvatica,7.5,12.8,0.057,0.036
19,Fagus sylvatica,7.5,11.4,0.05,0.033
20,Fagus sylvatica,7.5,11.4,0.05,0.033
21,Fagus sylvatica,7.5,11.4,0.05,0.033
22,Fagus sylvatica,7.5,11.4,0.05,0.033
23,Fagus sylvatica,7.7,11.7,0.054,0.036
24,Fagus sylvatica,7.7,11.7,0.054,0.036
25,Fagus sylvatica,7.7,11.7,0.054,0.036
26,Fagus sylvatica,7.8,15.0,0.072,0.043
27,Fagus sylvatica,7.8,11.8,0.056,0.037
28,Fagus sylvatica,7.8,11.8,0.056,0.037
29,Fagus sylvatica,7.8,11.8,0.056,0.037
30,Fagus sylvatica,7.8,11.8,0.056,0.037
31,Fagus sylvatica,7.9,9.1,0.045,0.033
32,Fagus sylvatica,7.9,11.9,0.058,0.038
33,Fagus sylvatica,7.9,11.9,0.058,0.038
34,Fagus sylvatica,7.9,11.9,0.058,0.038
35,Fagus sylvatica,8.0,14.6,0.073,0.044
36,Fagus sylvatica,8.0,12.0,0.06,0.039
37,Fagus sylvatica,8.0,12.0,0.06,0.039
38,Fagus sylvatica,8.0,12.0,0.06,0.039
39,Fagus sylvatica,8.0,12.0,0.06,0.039
40,Fagus sylvatica,8.0,12.0,0.06,0.039
41,Fagus sylvatica,8.1,12.2,0.063,0.04
42,Fagus sylvatica,8.1,12.2,0.063,0.04
43,Fagus sylvatica,8.1,12.2,0.063,0.04
44,Fagus sylvatica,8.2,12.3,0.065,0.042
45,Fagus sylvatica,8.2,12.3,0.065,0.042
46,Fagus sylvatica,8.2,12.3,0.065,0.042
47,Fagus sylvatica,8.3,13.5,0.073,0.045
48,Fagus sylvatica,8.3,12.4,0.067,0.043
49,Fagus sylvatica,8.3,12.4,0.067,0.043
50,Fagus sylvatica,8.4,12.5,0.069,0.044
51,Fagus sylvatica,8.4,12.5,0.069,0.044
52,Fagus sylvatica,8.4,12.5,0.069,0.044
53,Fagus sylvatica,8.5,12.7,0.072,0.046
54,Fagus sylvatica,8.5,12.7,0.072,0.046
55,Fagus sylvatica,8.5,12.7,0.072,0.046
56,Fagus sylvatica,8.5,12.7,0.072,0.046
57,Fagus sylvatica,8.6,12.8,0.074,0.047
58,Fagus sylvatica,8.6,12.8,0.074,0.047
59,Fagus sylvatica,8.6,12.8,0.074,0.047
60,Fagus sylvatica,8.6,12.8,0.074,0.047
61,Fagus sylvatica,8.6,12.8,0.074,0.047
62,Fagus sylvatica,8.7,12.9,0.077,0.048
63,Fagus sylvatica,8.7,12.9,0.077,0.048
64,Fagus sylvatica,8.7,12.9,0.077,0.048
65,Fagus sylvatica,8.8,13.0,0.079,0.05
66,Fagus sylvatica,8.8,13.0,0.079,0.05
67,Fagus sylvatica,8.9,13.1,0.081,0.051
68,Fagus sylvatica,8.9,13.1,0.081,0.051
69,Fagus sylvatica,9.0,13.2,0.084,0.052
70,Fagus sylvatica,9.0,13.2,0.084,0.052
71,Fagus sylvatica,9.0,13.2,0.084,0.052
72,Fagus sylvatica,9.0,13.2,0.084,0.052
73,Fagus sylvatica,9.0,13.2,0.084,0.052
74,Fagus sylvatica,9.0,13.2,0.084,0.052
75,Fagus sylvatica,9.0,13.2,0.084,0.052
76,Fagus sylvatica,9.0,13.2,0.084,0.052
77,Fagus sylvatica,9.1,13.3,0.087,0.054
78,Fagus sylvatica,9.1,13.3,0.087,0.054
79,Fagus sylvatica,9.1,13.3,0.087,0.054
80,Fagus sylvatica,9.1,13.3,0.087,0.054
81,Fagus sylvatica,9.3,13.6,0.092,0.057
82,Fagus sylvatica,9.3,13.6,0.092,0.057
83,Fagus sylvatica,9.3,13.6,0.092,0.057
84,Fagus sylvatica,9.3,13.6,0.092,0.057
85,Fagus sylvatica,9.4,13.7,0.095,0.058
86,Fagus sylvatica,9.4,13.7,0.095,0.058
87,Fagus sylvatica,9.4,13.7,0.095,0.058
88,Fagus sylvatica,9.4,13.7,0.095,0.058
89,Fagus sylvatica,9.5,11.6,0.082,0.054
90,Fagus sylvatica,9.5,13.8,0.098,0.06
91,Fagus sylvatica,9.5,13.8,0.098,0.06
92,Fagus sylvatica,9.6,13.9,0.101,0.061
93,Fagus sylvatica,9.6,13.9,0.101,0.061
94,Fagus sylvatica,9.6,13.9,0.101,0.061
95,Fagus sylvatica,9.6,13.9,0.101,0.061
96,Fagus sylvatica,9.7,14.0,0.103,0.063
97,Fagus sylvatica,9.7,14.0,0.103,0.063
98,Fagus sylvatica,9.7,14.0,0.103,0.063
99,Fagus sylvatica,9.8,13.8,0.104,0.064
100,Fagus sylvatica,9.8,14.1,0.106,0.065
101,Fagus sylvatica,9.8,14.1,0.106,0.065
102,Fagus sylvatica,9.9,14.2,0.109,0.066
103,Fagus sylvatica,9.9,14.2,0.109,0.066
104,Fagus sylvatica,9.9,14.2,0.109,0.066
105,Fagus sylvatica,9.9,14.2,0.109,0.066
106,Fagus sylvatica,9.9,14.2,0.109,0.066
107,Fagus sylvatica,9.9,14.2,0.109,0.066
108,Fagus sylvatica,10.0,14.3,0.112,0.068
109,Fagus sylvatica,10.0,14.3,0.112,0.068
110,Fagus sylvatica,10.0,14.3,0.112,0.068
111,Fagus sylvatica,10.0,14.3,0.112,0.068
112,Fagus sylvatica,10.0,14.3,0.112,0.068
113,Fagus sylvatica,10.0,14.3,0.112,0.068
114,Fagus sylvatica,10.0,14.3,0.112,0.068
115,Fagus sylvatica,10.1,9.0,0.072,0.053
116,Fagus sylvatica,10.1,14.4,0.115,0.07
117,Fagus sylvatica,10.1,14.4,0.115,0.07
118,Fagus sylvatica,10.1,14.4,0.115,0.07
119,Fagus sylvatica,10.2,14.5,0.118,0.071
120,Fagus sylvatica,10.3,13.1,0.109,0.068
121,Fagus sylvatica,10.3,17.3,0.144,0.082
122,Fagus sylvatica,10.3,14.6,0.122,0.073
123,Fagus sylvatica,10.3,14.6,0.122,0.073
124,Fagus sylvatica,10.3,14.6,0.122,0.073
125,Fagus sylvatica,10.3,14.6,0.122,0.073
126,Fagus sylvatica,10.4,14.7,0.125,0.075
127,Fagus sylvatica,10.4,14.7,0.125,0.075
128,Fagus sylvatica,10.4,14.7,0.125,0.075
129,Fagus sylvatica,10.4,14.7,0.125,0.075
130,Fagus sylvatica,10.4,14.7,0.125,0.075
131,Fagus sylvatica,10.4,14.7,0.125,0.075
132,Fagus sylvatica,10.4,14.7,0.125,0.075
133,Fagus sylvatica,10.4,14.7,0.125,0.075
134,Fagus sylvatica,10.4,14.7,0.125,0.075
135,Fagus sylvatica,10.5,14.7,0.127,0.076
136,Fagus sylvatica,10.5,14.7,0.127,0.076
137,Fagus sylvatica,10.5,14.7,0.127,0.076
138,Fagus sylvatica,10.5,14.7,0.127,0.076
139,Fagus sylvatica,10.5,14.7,0.127,0.076
140,Fagus sylvatica,10.6,14.8,0.131,0.078
141,Fagus sylvatica,10.6,14.8,0.131,0.078
142,Fagus sylvatica,10.6,14.8,0.131,0.078
143,Fagus sylvatica,10.6,14.8,0.131,0.078
144,Fagus sylvatica,10.7,17.6,0.158,0.089
145,Fagus sylvatica,10.7,14.9,0.134,0.08
146,Fagus sylvatica,10.7,14.9,0.134,0.08
147,Fagus sylvatica,10.7,14.9,0.134,0.08
148,Fagus sylvatica,10.7,14.9,0.134,0.08
149,Fagus sylvatica,10.8,15.0,0.137,0.082
150,Fagus sylvatica,10.8,15.0,0.137,0.082
151,Fagus sylvatica,10.8,15.0,0.137,0.082
152,Fagus sylvatica,10.9,15.1,0.141,0.084
153,Fagus sylvatica,10.9,15.1,0.141,0.084
154,Fagus sylvatica,10.9,15.1,0.141,0.084
155,Fagus sylvatica,10.9,15.1,0.141,0.084
156,Fagus sylvatica,10.9,15.1,0.141,0.084
157,Fagus sylvatica,11.0,13.4,0.127,0.079
158,Fagus sylvatica,11.0,15.2,0.144,0.085
159,Fagus sylvatica,11.0,15.2,0.144,0.085
