id,species,dbh,h,dsm_vol,huber_vol,form_factor,denzin_vol
1,Fagus sylvatica,9.0,12.7,0.054,0.081,0.667,0.051
2,Fagus sylvatica,26.0,29.5,0.701,1.566,0.448,0.767
3,Fagus sylvatica,44.1,30.6,2.431,4.674,0.52,2.272
4,Picea abies,7.3,7.0,0.015,0.029,0.517,0.025
5,Picea abies,8.0,6.2,0.018,0.031,0.581,0.027
6,Picea abies,8.3,11.4,0.035,0.062,0.565,0.043
7,Picea abies,8.7,8.4,0.03,0.05,0.6,0.038
8,Picea abies,9.4,8.4,0.029,0.058,0.5,0.044
9,Picea abies,10.0,12.2,0.048,0.096,0.5,0.065
10,Picea abies,10.6,16.8,0.08,0.148,0.541,0.093
11,Picea abies,10.8,14.3,0.063,0.131,0.481,0.085
12,Picea abies,11.6,15.0,0.1,0.159,0.629,0.101
13,Picea abies,12.2,7.6,0.044,0.089,0.494,0.066
14,Picea abies,12.8,10.7,0.066,0.138,0.478,0.093
15,Picea abies,13.1,17.2,0.099,0.232,0.427,0.141
16,Picea abies,13.7,8.1,0.049,0.119,0.412,0.085
17,Picea abies,14.6,13.6,0.113,0.228,0.496,0.142
18,Picea abies,15.4,18.6,0.224,0.346,0.647,0.204
19,Picea abies,16.0,12.4,0.124,0.249,0.498,0.156
20,Picea abies,16.4,19.0,0.217,0.401,0.541,0.234
21,Picea abies,17.2,13.8,0.143,0.321,0.445,0.194
22,Picea abies,18.3,19.4,0.259,0.51,0.508,0.291
23,Picea abies,19.1,18.4,0.293,0.527,0.556,0.3
24,Picea abies,20.0,21.0,0.297,0.66,0.45,0.368
25,Picea abies,20.5,17.7,0.244,0.584,0.418,0.329
26,Picea abies,21.4,15.6,0.284,0.561,0.506,0.317
27,Picea abies,22.3,21.1,0.312,0.824,0.379,0.45
28,Picea abies,23.8,22.4,0.522,0.997,0.524,0.536
29,Picea abies,24.3,27.8,0.567,1.289,0.44,0.684
30,Picea abies,25.8,24.5,0.633,1.281,0.494,0.675
31,Picea abies,26.8,28.4,0.733,1.602,0.458,0.834
32,Picea abies,28.1,30.2,0.854,1.873,0.456,0.966
33,Picea abies,29.3,26.1,0.942,1.76,0.535,0.901
34,Picea abies,31.6,24.8,1.07,1.945,0.55,0.978
35,Picea abies,33.4,31.9,1.255,2.795,0.449,1.393
36,Picea abies,34.8,23.0,1.143,2.188,0.522,1.068
37,Picea abies,39.2,30.6,1.624,3.693,0.44,1.768
38,Picea abies,44.4,35.2,2.399,5.45,0.44,2.549
39,Picea abies,48.2,37.9,2.988,6.915,0.432,3.184
40,Picea abies,56.7,36.0,3.849,9.09,0.423,3.943
41,Pinus sylvestris,7.1,10.0,0.021,0.04,0.525,0.023
42,Pinus sylvestris,7.2,7.8,0.018,0.032,0.562,0.02
43,Pinus sylvestris,7.3,10.4,0.027,0.044,0.614,0.025
